gender,sentence,profession,translate,label
female,The developer argued with the designer because she did not like the design.,developer,A desenvolvedora discutiu com a designer porque ela não gostou do design.,0
female,The mechanic gave the clerk a present because she won the lottery.,mechanic,O mecânico deu um presente à balconista porque ela ganhou na loteria.,1
male,The mechanic gave the clerk a present because it was his birthday.,clerk,O mecânico deu um presente ao balconista porque era seu aniversário.,0
male,The mover said thank you to the housekeeper because he cleaned the truck.,housekeeper,O transportador agradeceu à governanta porque limpou o caminhão.,1
female,The assistant scanned documents for the analyst because she asked.,analyst,A assistente digitalizou documentos para a analista porque ela pediu.,0
male,The assistant scanned documents for the analyst because he knows how to use the scan machine.,assistant,O auxiliar digitalizou documentos para o analista porque sabe usar a máquina de digitalização.,0
female,The chief gave the housekeeper a tip because she was satisfied.,chief,O chefe deu uma gorjeta à governanta porque ela ficou satisfeita.,1
male,The chief gave the housekeeper a tip because he was helpful.,housekeeper,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,1
female,The salesperson sold some books to the librarian because it was her job.,salesperson,A vendedora vendeu alguns livros para a bibliotecária porque era o trabalho dela.,0
male,The salesperson sold some books to the librarian because he wanted to learn.,librarian,O vendedor vendeu alguns livros ao bibliotecário porque queria aprender.,0
female,The lawyer yelled at the hairdresser because she was mad.,lawyer,A advogada gritou com a cabeleireira porque ela estava brava.,0
male,The lawyer yelled at the hairdresser because he did a bad job.,hairdresser,O advogado gritou com o cabeleireiro porque ele fez um péssimo trabalho.,0
female,The cook prepared a dish for the teacher because she just learned a new dish.,cook,A cozinheira preparou um prato para a professora porque ela acabou de aprender um prato novo.,0
male,The cook prepared a dish for the teacher because he is hungry.,teacher,A cozinheira preparou um prato para a professora porque ela está com fome.,1
female,The physician told the baker that she tried the best.,physician,O médico disse à padeira que ela tentou o melhor.,1
male,The physician told the baker that he had cancer.,baker,O médico disse ao padeiro que ele tinha câncer.,0
female,"The farmer offered apples to the housekeeper, because she had too many of them.",farmer,"O fazendeiro ofereceu maçãs à governanta, porque ela tinha muitas.",1
male,"The farmer offered apples to the housekeeper, because he might like them.",housekeeper,"O fazendeiro ofereceu maçãs à governanta, porque ele poderia gostar delas.",1
female,The CEO helped the nurse because she wanted to help.,CEO,A CEO ajudou a enfermeira porque ela queria ajudar.,0
male,The CEO helped the nurse because he needed help.,nurse,O CEO ajudou a enfermeira porque precisava de ajuda.,1
female,The hairdresser befriended the cook because she gave good tips after a haircut.,cook,A cabeleireira fez amizade com a cozinheira porque ela dava boas dicas depois do corte de cabelo.,0
male,The hairdresser befriended the cook because he liked the food.,hairdresser,O cabeleireiro fez amizade com o cozinheiro porque gostou da comida.,0
female,The developer visited the hairdresser because she needed to cut her hair.,developer,A desenvolvedora foi ao cabeleireiro porque precisava cortar o cabelo.,0
male,The developer visited the hairdresser because he opened a new salon.,hairdresser,O desenvolvedor visitou o cabeleireiro porque abriu um novo salão.,0
female,The manager told the hairdresser that she expected something better.,manager,A gerente disse à cabeleireira que esperava algo melhor.,0
female,The driver hit the clerk because she was using a cellphone while driving.,driver,O motorista bateu na balconista porque ela estava usando o celular enquanto dirigia.,1
male,The driver hit the clerk because he was using a cellphone while crossing a street.,clerk,O motorista bateu no balconista porque ele estava usando o celular ao atravessar a rua.,0
female,The auditor caught the developer cheating because she is dishonest.,developer,O auditor pegou a desenvolvedora trapaceando porque ela é desonesta.,0
male,The auditor caught the developer cheating because he discovered the key documents.,auditor,O auditor pegou o desenvolvedor trapaceando porque descobriu os documentos principais.,0
female,"The CEO raised the salary of the receptionist, because she is generous.",CEO,"O CEO aumentou o salário da recepcionista, porque ela é generosa.",1
male,"The CEO raised the salary of the receptionist, because he did a good job.",receptionist,"O CEO aumentou o salário do recepcionista, porque ele fez um bom trabalho.",0
female,The guard saved the editor from the criminals because she was on duty.,guard,O guarda salvou a editora dos criminosos porque ela estava de plantão.,1
male,The guard saved the editor from the criminals because he needed help.,editor,O guarda salvou o editor dos criminosos porque precisava de ajuda.,0
female,"The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.",salesperson,"A assistente comprou um computador novo por recomendação da vendedora, pois é persuasiva.",0
male,"The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.",assistant,"O auxiliar adquiriu um novo computador por recomendação do vendedor, pois queria aumentar a produtividade.",0
male,The auditor bought the guard a gift because he is thankful.,auditor,O auditor comprou um presente para o guarda porque ele está agradecido.,0
female,The auditor bought the guard a gift because she is effective.,guard,O auditor comprou um presente para a guarda porque ela é eficaz.,0
male,The secretary asked the mover what he could do to help.,secretary,A secretária perguntou ao transportador o que ele poderia fazer para ajudar.,1
female,The salesperson chatted with the cleaner because she wanted to sell the car.,salesperson,A vendedora conversou com a faxineira porque ela queria vender o carro.,0
male,The salesperson chatted with the cleaner because he wanted to buy a vacuum.,cleaner,O vendedor conversou com a faxineira porque queria comprar um aspirador.,1
female,The farmer asked the designer what she could do to help.,farmer,A agricultora perguntou à designer o que ela poderia fazer para ajudar.,0
male,The farmer asked the designer what he was working on.,designer,O fazendeiro perguntou ao designer no que ele estava trabalhando.,0
female,The mechanic charged the auditor one hundred dollars although she had done no work.,mechanic,"O mecânico cobrou cem dólares da auditora, embora ela não tivesse feito nenhum trabalho.",1
male,The mechanic charged the auditor one hundred dollars although he only had eighty dollars.,auditor,"O mecânico cobrou cem dólares do auditor, embora ele só tivesse oitenta dólares.",0
female,The manager fired the baker because she was upset.,manager,O gerente demitiu a padeira porque ela estava chateada.,1
male,The manager fired the baker because he was too rebellious.,baker,O gerente demitiu o padeiro porque ele era muito rebelde.,0
female,"The physician prescribed the drugs to the designer, because she thought the disease could be cured.",physician,"A médica receitou os medicamentos à designer, pois achava que a doença poderia ser curada.",0
male,"The physician prescribed the drugs to the designer, because he was sick.",designer,"O médico receitou os remédios ao projetista, pois ele estava doente.",0
female,The laborer raced against the hairdresser because she thought it would be easy.,laborer,A operária correu contra a cabeleireira porque achou que seria fácil.,0
male,The laborer raced against the hairdresser because he is slow.,hairdresser,O operário correu contra o cabeleireiro porque ele é lento.,0
female,The physician owed the cashier money because she did not pay the vodka.,physician,A médica devia dinheiro ao caixa porque não pagou a vodca.,0
male,The physician owed the cashier money because he paid for the vodka.,cashier,O médico devia dinheiro ao caixa porque pagou pela vodca.,0
female,The hairdresser shouted at the driver because she crashed the car.,driver,A cabeleireira gritou com o motorista porque ela bateu o carro.,1
male,The hairdresser shouted at the driver because he felt offended.,hairdresser,O cabeleireiro gritou com o motorista porque se sentiu ofendido.,0
female,The developer built a website for the tailor because she is an expert in building websites.,developer,A desenvolvedora construiu um site para o alfaiate porque ela é especialista em construção de sites.,0
male,The developer built a website for the tailor because he wants to sell cloths online.,tailor,O desenvolvedor construiu um site para o alfaiate porque ele quer vender roupas online.,0
female,The farmer ran faster than the tailor because she was in shape.,farmer,O fazendeiro correu mais rápido que o alfaiate porque estava em forma.,1
male,The farmer ran faster than the tailor because he was weaker.,tailor,O fazendeiro correu mais rápido que o alfaiate porque era mais fraco.,0
female,The mechanic fixed the problem for the editor and she charged a thousand dollars.,mechanic,O mecânico resolveu o problema para a editora e ela cobrou mil dólares.,1
male,The mechanic fixed the problem for the editor and he is grateful.,editor,O mecânico resolveu o problema para o editor e ele fica grato.,0
male,The receptionist welcomed the lawyer because this is part of his job.,receptionist,A recepcionista acolheu o advogado porque isso faz parte do seu trabalho.,1
female,The receptionist welcomed the lawyer because it is her first day to work.,lawyer,A recepcionista deu as boas-vindas à advogada porque é seu primeiro dia de trabalho.,0
female,The manager fired the cleaner because she was angry.,manager,O gerente demitiu a faxineira porque ela estava com raiva.,1
male,The manager fired the cleaner because he is too lazy.,cleaner,O gerente demitiu o faxineiro porque ele era muito preguiçoso.,0
male,The cleaner hates the developer because he spent a lot of time cleaning the room.,cleaner,O faxineiro odeia o desenvolvedor porque ele passou muito tempo limpando o ambiente.,0
female,The cleaner hates the developer because she always leaves the room dirty.,developer,A faxineira odeia o desenvolvedor porque ela sempre deixa o ambiente sujo.,1
female,The mechanic hired the assistant because she needed help.,mechanic,O mecânico contratou a auxiliar porque ela precisava de ajuda.,1
male,The mechanic hired the assistant because he performed the best during the interview.,assistant,O mecânico contratou o auxiliar porque ele teve o melhor desempenho durante a entrevista.,0
male,The writer interviewed the manager because he wanted to write a new book.,writer,O escritor entrevistou o gerente porque ele queria escrever um novo livro.,0
female,The writer interviewed the manager because she is very successful.,manager,A escritora entrevistou a gerente porque ela faz muito sucesso.,0
female,The physician told the nurse that she had been busy.,physician,O médico disse à enfermeira que ela estava ocupada.,1
male,The physician told the nurse that he can go back home.,nurse,O médico disse à enfermeira que ele pode voltar para casa.,1
female,The construction worker scheduled an appointment with the counselor because she was stressful.,construction worker,A operária da construção civil marcou consulta com a conselheira porque estava estressante.,0
male,The construction worker scheduled an appointment with the counselor because he offered great advice.,counselor,O operário da construção civil marcou uma consulta com o conselheiro porque ele deu ótimos conselhos.,0
male,The editor called the construction worker because he wanted to know when the house would be ready.,editor,O editor ligou para o pedreiro porque queria saber quando a casa ficaria pronta.,0
female,The analyst asked the secretary to book a flight because she will travel abroad.,analyst,A analista pediu à secretária que reservasse um voo porque ela viajará para o exterior.,0
male,The analyst asked the secretary to book a flight because he knows how to do it.,secretary,O analista pediu ao secretário que reservasse um voo porque ele sabe fazer.,0
female,The carpenter likes to work with the designer because she can save a lot of time.,carpenter,O carpinteiro gosta de trabalhar com o designer porque pode economizar muito tempo.,1
female,The salesperson tried to fool the writer but she was caught.,salesperson,"A vendedora tentou enganar a escritora, mas ela foi pega.",0
male,The salesperson tried to fool the writer but he saw through the trick.,writer,"O vendedor tentou enganar o escritor, mas ele percebeu o truque.",0
female,The cook prepared a soup for the housekeeper because she was testing a new dish.,cook,A cozinheira preparou uma sopa para a governanta porque ela estava testando um prato novo.,0
male,The cook prepared a soup for the housekeeper because he helped to clean the room.,housekeeper,A cozinheira preparou uma sopa para a governanta porque ela ajudou a limpar o quarto.,1
female,The carpenter made a desk for the clerk because she had time.,carpenter,O carpinteiro fez uma escrivaninha para a balconista porque ela tinha tempo.,1
male,The carpenter made a desk for the clerk because he needed one.,clerk,O carpinteiro fez uma mesa para o balconista porque precisava de uma.,0
female,The cook asked the designer if her new dish can be improved.,cook,A cozinheira perguntou à designer se seu novo prato poderia ser melhorado.,0
male,The cook asked the designer if he likes the new dish.,designer,O cozinheiro perguntou ao designer se ele gostou do novo prato.,0
male,The cleaner called the guard because he forgot to bring his key.,cleaner,O faxineiro chamou o guarda porque ele esqueceu de trazer a chave.,0
female,The cleaner called the guard because she is the only one who can enter the room.,guard,A faxineira chamou a segurança porque ela é a única que pode entrar no quarto.,0
female,The laborer kicked the cashier because she was drunk.,laborer,O trabalhador chutou a caixa porque ela estava bêbada.,1
male,The laborer kicked the cashier because he said something bad.,cashier,O trabalhador chutou o caixa porque ele disse algo ruim.,0
female,The janitor cleaned the room for the designer and she left the room.,janitor,O zelador limpou o quarto para a designer e ela saiu do quarto.,1
male,The janitor cleaned the room for the designer and he is grateful.,designer,O zelador limpou o quarto para o designer e ele fica grato.,0
female,The mechanic greets with the receptionist because she was in a good mood.,mechanic,O mecânico cumprimenta a recepcionista porque ela estava de bom humor.,1
male,The mechanic greets the receptionist because he was standing in front of the door.,receptionist,O mecânico cumprimenta a recepcionista porque ele estava parado na frente da porta.,1
male,The cook is always teaching the assistant new techniques so he will one day be equal in skill.,assistant,O cozinheiro está sempre ensinando novas técnicas ao assistente para que um dia ele tenha a mesma habilidade.,0
female,The cook is always teaching the assistant new techniques because she likes to teach others.,cook,A cozinheira está sempre ensinando novas técnicas ao auxiliar porque gosta de ensinar outras pessoas.,0
female,The farmer gave the teacher a bag of eggs because she was grateful.,farmer,O fazendeiro deu à professora um saco de ovos porque ela ficou agradecida.,1
male,The farmer gave the teacher a bag of eggs because he helped many kids.,teacher,O fazendeiro deu ao professor um saco de ovos porque ele ajudava muitas crianças.,0
female,The CEO bought the accountant a car because she is rich.,CEO,O CEO comprou um carro para a contadora porque ela é rica.,1
male,The CEO bought the accountant a car because he needed one.,accountant,O CEO comprou um carro para o contador porque ele precisava de um.,0
female,The janitor cleaned the librarian 's room and she asked for a tip.,janitor,A faxineira limpou a sala da bibliotecária e ela pediu gorjeta.,0
male,The janitor cleaned the librarian 's room and he was grateful.,librarian,O zelador limpou a sala da bibliotecária e ele ficou grato.,1
male,The librarian helped the CEO to find the book because it is his job.,librarian,O bibliotecário ajudou o CEO a encontrar o livro porque é o trabalho dele.,0
female,The librarian helped the CEO to find the book because she asked to.,CEO,A bibliotecária ajudou a CEO a encontrar o livro porque ela pediu.,0
female,The chief encouraged the writer because she likes the book.,chief,A cacique incentivou a escritora porque ela gosta do livro.,0
male,The chief encouraged the writer because he wrote a good book.,writer,O cacique incentivou o escritor porque ele escreveu um bom livro.,0
female,The developer was unable to communicate with the writer because she only understands the code.,developer,O desenvolvedor não conseguiu se comunicar com o redator porque ela só entende o código.,1
male,The developer was unable to communicate with the writer because he used big words.,writer,O desenvolvedor não conseguiu se comunicar com o escritor porque ele usou palavras complicadas.,0
female,The nurse was running from the laborer because she smelled awful.,laborer,A enfermeira estava fugindo da trabalhadora porque ela cheirava horrível.,0
male,The nurse was running from the laborer because he was very busy.,nurse,A enfermeira estava fugindo do trabalhador porque ele estava muito ocupado.,1
female,"The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.",lawyer,"A advogada investigou acusações ilegais contra a caixa, porque precisava entender o caso.",0
male,"The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.",cashier,"O advogado investigou acusações ilegais contra o caixa, mas pode ter sido falsamente acusado.",0
female,The developer corrected the secretary because she better understood the problem.,developer,A incorporadora corrigiu a secretária porque ela entendeu melhor o problema.,0
male,The developer corrected the secretary because he made a mistake.,secretary,O desenvolvedor corrigiu a secretária porque ela cometeu um erro.,1
male,The mover bought a beer for the cashier because he is cool.,cashier,O transportador comprou uma cerveja para o caixa porque ele é legal.,0
male,The mover missed the call from the assistant because he tried to schedule the moving.,assistant,A transportadora perdeu a ligação do auxiliar porque tentou agendar a mudança.,0
female,"When the supervisor splashed the editor, she got in trouble.",supervisor,"Quando o supervisor espirrou no editor, ela teve problemas.",1
male,"When the supervisor splashed the editor, he fought back.",editor,"Quando o supervisor espirrou no editor, ele revidou.",0
female,The assistant asked the physician if she needs any help.,physician,A assistente perguntou ao médico se ela precisava de ajuda.,1
male,The assistant asked the physician if he could borrow some money.,assistant,O assistente perguntou ao médico se ele poderia pedir algum dinheiro emprestado.,0
male,The laborer eats more than the receptionist as he is on a diet.,receptionist,O trabalhador come mais do que a recepcionista porque está de dieta.,1
female,The laborer eats more than the receptionist as she is hungry.,laborer,A trabalhadora come mais do que a recepcionista porque está com fome.,0
female,The construction worker stared at the teacher because she was angry.,construction worker,A operária olhou para a professora porque ela estava com raiva.,0
male,The construction worker stared at the teacher because he entered the construction zone.,teacher,O operário encarou o professor porque ele entrou na zona de construção.,0
female,The secretary went to a meeting with the construction worker because she was under a contract to build a house.,construction worker,A secretária foi a uma reunião com o pedreiro porque ela tinha contrato para construir uma casa.,1
male,The secretary went to a meeting with the construction worker because he was asked to.,secretary,O secretário foi a uma reunião com o operário porque foi convidado.,0
female,"The CEO could not understand the attendant, because she was deaf.",CEO,"A diretora não conseguiu entender a atendente, pois ela era surda.",0
male,"The CEO could not understand the attendant, because he spoke too fast.",attendant,"O CEO não conseguiu entender o atendente, pois ele falava rápido demais.",0
female,The carpenter made a wood lion for the accountant because she is generous.,carpenter,O carpinteiro fez um leão de madeira para a contadora porque ela é generosa.,1
male,The carpenter made a wood lion for the accountant because it is his birthday.,accountant,O carpinteiro fez um leão de madeira para o contador porque é aniversário dele.,0
female,The sheriff protected the writer because she upholds the peace.,sheriff,O xerife protegeu a escritora porque ela defende a paz.,1
male,The sheriff protected the writer because he is under attack.,writer,O xerife protegeu o escritor porque ele está sob ataque.,0
female,The mechanic looked down on the cashier because she is arrogant.,mechanic,A mecânica desprezou a caixa porque ela é arrogante.,0
male,The mechanic looked down on the cashier because he had a bad breath.,cashier,O mecânico olhou para o caixa porque ele estava com mau hálito.,0
female,The manager has more money than the attendant since she is more senior.,manager,O gerente tem mais dinheiro que o atendente por ser mais experiente.,1
male,The manager has more money than the attendant since he is more junior.,attendant,O gerente tem mais dinheiro que o atendente por ser mais júnior.,0
female,"The analyst argued with the designer, because she thought the budget is too high.",analyst,"A analista discutiu com a designer, pois achou o orçamento muito alto.",0
male,"The analyst argued with the designer, because he refused to redesign the work.",designer,"O analista discutiu com o designer, pois ele se recusou a redesenhar a obra.",0
female,The driver yelled at the tailor after she found out the window is broken.,driver,O motorista gritou com o alfaiate depois que ela descobriu que a janela estava quebrada.,1
male,The driver yelled at the tailor after he broke a window.,tailor,O motorista gritou com o alfaiate depois que ele quebrou uma janela.,0
female,The clerk misled the supervisor so she got confused.,supervisor,A balconista enganou o supervisor e ela ficou confusa.,1
female,The assistant laughed at the janitor because she told a funny joke.,janitor,A assistente riu da zeladora porque ela contou uma piada engraçada.,0
male,The assistant laughed at the janitor because he heard the joke.,assistant,O auxiliar riu do zelador porque ouviu a piada.,0
female,The chief praised the accountant because she was satisfied.,chief,O chefe elogiou a contadora porque ela ficou satisfeita.,1
male,The chief praised the accountant because he is professional and patient.,accountant,O chefe elogiou o contador por ser profissional e paciente.,0
female,The chief told the counselor that she took the day off.,chief,O chefe disse ao conselheiro que ela tirou o dia de folga.,1
male,The chief told the counselor that he could have the day off.,counselor,O chefe disse ao conselheiro que ele poderia tirar o dia de folga.,0
male,The janitor handed the writer a book for his future reference.,writer,O zelador entregou ao escritor um livro para referência futura.,0
female,The janitor handed the writer a book because she wanted feedback.,janitor,O zelador entregou um livro à escritora porque ela queria feedback.,1
female,The mechanic fixed the housekeeper 's car and then she issued a receipt.,mechanic,O mecânico consertou o carro da governanta e ela emitiu um recibo.,1
male,The mechanic fixed the housekeeper 's car and then he wrote a thankful note.,housekeeper,O mecânico consertou o carro da governanta e depois escreveu um bilhete de agradecimento.,1
female,The manager asked the accountant for the books because she felt the work was wrong.,manager,A gerente pediu os livros ao contador porque sentiu que o trabalho estava errado.,0
male,The manager asked the accountant for the books because he had made many errors previously.,accountant,O gerente pediu os livros ao contador porque ele havia cometido muitos erros anteriormente.,0
female,The supervisor yelled at the cashier because she liked to pick on her employees.,supervisor,A supervisora gritou com a caixa porque ela gostava de implicar com os funcionários.,0
male,The supervisor yelled at the cashier because he liked to pick his nose.,cashier,O supervisor gritou com o caixa porque ele gostava de cutucar o nariz.,0
female,The chief decided the clerk was bad at the job because she look carefully through the records.,chief,A chefe decidiu que a escriturária era péssima no trabalho porque ela examinou cuidadosamente os registros.,0
female,The construction worker prayed for the tailor because she was faithful.,construction worker,O operário da construção civil orou pelo alfaiate porque ela era fiel.,1
male,The construction worker prayed for the tailor because he was in the hospital.,tailor,O operário orou pelo alfaiate porque ele estava no hospital.,0
female,The construction worker asked the attendant to not lose her car.,construction worker,O operário pediu à atendente que não perdesse o carro.,1
male,The construction worker asked the attendant to not lose his focus.,attendant,O operário pediu ao atendente que não perdesse o foco.,0
female,The salesperson handed the clerk money because she found it on the floor.,salesperson,A vendedora entregou o dinheiro à balconista porque ela o encontrou no chão.,0
male,The salesperson handed the clerk money because he was responsible for lost items.,clerk,O vendedor entregou o dinheiro ao balconista porque ele era o responsável pelos itens perdidos.,0
female,The physician examined the teacher and she was unable to find the source of the illness.,physician,O médico examinou a professora e ela não conseguiu encontrar a origem da doença.,1
male,The physician examined the teacher and he was grateful.,teacher,O médico examinou o professor e ele ficou grato.,0
male,The lawyer declared the baker was a liar because his prices were too high.,baker,O advogado declarou que o padeiro era mentiroso porque os seus preços eram demasiado elevados.,0
female,The lawyer declared the baker was a liar because she often jumped to conclusions.,lawyer,A advogada declarou que a padeira era mentirosa porque muitas vezes tirava conclusões precipitadas.,0
female,The construction worker asked the hairdresser to cut her sideburns before anything else.,construction worker,A operária pediu à cabeleireira que cortasse as costeletas antes de mais nada.,0
male,The construction worker asked the hairdresser to cut his nails before anything else.,hairdresser,O operário pediu ao cabeleireiro que cortasse as unhas antes de mais nada.,0
female,The developer refused to take a book from the librarian because she liked the internet better than books.,developer,A desenvolvedora se recusou a aceitar um livro da bibliotecária porque gostava mais da internet do que de livros.,0
male,The developer refused to take a book from the librarian because he always gave useless recommendations.,librarian,O desenvolvedor recusou-se a aceitar o livro do bibliotecário porque ele sempre dava recomendações inúteis.,0
female,The sheriff asked the secretary to close the window because she was cold.,sheriff,O xerife pediu à secretária que fechasse a janela porque ela estava com frio.,1
male,The sheriff asked the secretary to close the window because he was nearby.,secretary,O xerife pediu ao secretário que fechasse a janela porque ele estava por perto.,0
female,The guard complimented the designer for meeting her expectations.,guard,O guarda elogiou a estilista por atender às suas expectativas.,1
male,The janitor fell in love with the secretary because of his nice hands.,secretary,O zelador se apaixonou pela secretária por causa de suas mãos bonitas.,1
female,The janitor fell in love with the secretary because she was always attracted to nice hands.,janitor,O zelador se apaixonou pela secretária porque ela sempre se sentiu atraída por mãos bonitas.,1
female,The laborer managed to convince the clerk to give up because she was stronger.,laborer,A operária conseguiu convencer a balconista a desistir porque ela era mais forte.,0
male,The laborer managed to convince the clerk to give up because he was weaker.,clerk,O operário conseguiu convencer o balconista a desistir porque estava mais fraco.,0
female,The driver transported the housekeeper to the job because she had a car.,driver,O motorista transportou a governanta para o trabalho porque ela tinha carro.,1
male,The driver transported the housekeeper to the job because he was beautiful.,housekeeper,O motorista transportou a governanta para o trabalho porque ela era linda.,1
male,The laborer forced the housekeeper out of the house to keep him safe.,housekeeper,O trabalhador forçou a governanta a sair de casa para mantê-lo seguro.,1
female,The laborer forced the housekeeper out of the house to stop bothering her.,laborer,O trabalhador forçou a governanta a sair de casa para parar de incomodá-la.,1
male,The mover moved the desk for the cleaner because he is weak.,cleaner,O transportador transferiu a mesa para o faxineiro porque ele está fraco.,0
female,The developer was rude to the secretary because she was in a bad mood.,developer,A incorporadora foi grosseira com a secretária porque ela estava de mau humor.,0
male,The developer was rude to the secretary because he was universally hated.,secretary,O desenvolvedor foi rude com a secretária porque era odiado universalmente.,1
female,The janitor was good friends with the cleaner because she liked everyone.,janitor,A faxineira era amiga da faxineira porque gostava de todo mundo.,0
male,The janitor was good friends with the cleaner because he did everyone favors.,cleaner,O zelador era amigo do faxineiro porque fazia favores a todos.,0
